,ville,longitude,latitude,temperature,tx_humidite
0,Bayeux,-34.9322,-7.125,30.350000000000023,66
0,Le Havre,0.1077,49.4938,6.640000000000043,50
0,Rouen,1.0993,49.4431,6.900000000000034,47
0,Paris,2.3488,48.8534,6.890000000000043,47
0,Amiens,2.3,49.9,5.810000000000002,40
0,Lille,3.0586,50.633,6.5,44
0,Strasbourg,7.743,48.5834,6.590000000000032,36
0,Colmar,7.3667,48.0833,7.930000000000007,39
0,Eguisheim,7.3062,48.0428,7.7900000000000205,39
0,Besançon,6.0182,47.2488,8.270000000000039,38
0,Dijon,5.0167,47.3167,9.189999999999998,37
0,Annecy,6.1167,45.9,8.230000000000018,43
0,Grenoble,5.8333,45.0833,2.8000000000000114,50
0,Lyon,4.5833,45.75,6.990000000000009,48
0,Cassis,5.5451,43.2124,12.629999999999995,38
0,Marseille,5.5,43.3333,10.680000000000007,39
0,Avignon,4.8333,44.0833,12.75,32
0,Uzès,4.4167,44.0167,12.470000000000027,33
0,Nîmes,4.35,43.8333,12.770000000000039,33
0,Aigues Mortes,1.0301,45.3314,11.080000000000041,36
0,Collioure,3.0824,42.5246,11.379999999999995,66
0,Carcassonne,2.1667,43.25,12.650000000000034,52
0,Ariège,1.5,43.0,9.25,36
0,Toulouse,1.4437,43.6043,12.700000000000045,50
0,Montauban,1.5,44.0833,13.090000000000032,50
0,Biarritz,-1.5556,43.4801,12.04000000000002,58
0,Bayonne,-1.4167,43.3333,11.640000000000043,58
0,La Rochelle,-1.15,46.1667,10.180000000000007,43
0,Chatou,2.1586,48.8898,6.8799999999999955,47
0,Maen Roch,-1.3663,48.411,7.670000000000016,49
0,Saint-Raphaël,-72.2,19.4333,25.700000000000045,53
0,Kingersheim,7.3349,47.7926,7.930000000000007,46
0,Montargis,2.75,47.8333,8.75,41
0,La Chapelle-de-Guinchay,4.7625,46.2084,9.180000000000007,41
0,Étampes,2.165,48.4367,6.990000000000009,50
0,Bazoges-en-Paillers,-1.1328,46.9081,8.939999999999998,50
